value,date
6403,2016-09-30
6799,2016-09-29
12471,2016-09-28
7512,2016-09-27
10646,2016-09-26
6371,2016-09-25
4434,2016-09-24
10472,2016-09-23
7147,2016-09-22
6646,2016-09-21
6438,2016-09-20
5907,2016-09-19
4331,2016-09-18
16430,2016-09-17
1427,2016-09-16
7319,2016-09-15
6053,2016-09-14
7623,2016-09-13
6938,2016-09-12
4402,2016-09-11
6626,2016-09-10
9851,2016-09-09
8634,2016-09-08
8073,2016-09-07
7623,2016-09-06
5624,2016-09-05
9256,2016-09-04
5174,2016-09-03
12885,2016-09-02
13509,2016-09-01
14093,2016-08-31
11434,2016-08-30
20409,2016-08-29
6853,2016-08-28
6933,2016-08-27
14426,2016-08-26
22458,2016-08-25
10879,2016-08-24
14684,2016-08-23
21464,2016-08-22
11674,2016-08-21
10745,2016-08-20
15764,2016-08-19
10549,2016-08-18
12849,2016-08-17
15076,2016-08-16
2659,2016-08-15
10213,2016-08-14
9625,2016-08-13
7537,2016-08-12
3699,2016-08-11
3894,2016-08-10
8438,2016-08-09
2697,2016-08-08
3107,2016-08-07
1403,2016-08-06
11343,2016-08-05
3189,2016-08-04
793,2016-08-03
2953,2016-08-02
3910,2016-08-01
2256,2016-07-31
4025,2016-07-30
3140,2016-07-29
3262,2016-07-28
6307,2016-07-27
2731,2016-07-26
6706,2016-07-25
2813,2016-07-24
3561,2016-07-23
448,2016-07-22
5241,2016-07-21
2877,2016-07-20
1395,2016-07-19
4512,2016-07-18
2147,2016-07-17
9697,2016-07-16
2364,2016-07-15
3247,2016-07-14
3855,2016-07-13
4203,2016-07-12
1185,2016-07-11
13109,2016-07-10
8560,2016-07-09
2087,2016-07-08
4243,2016-07-07
2894,2016-07-06
844,2016-07-05
1263,2016-07-04
2633,2016-07-03
967,2016-07-02
669,2016-07-01
625,2016-06-30
2645,2016-06-29
2010,2016-06-28
1380,2016-06-27
2430,2016-06-26
2561,2016-06-25
2270,2016-06-24
2166,2016-06-23
4342,2016-06-22
6253,2016-06-21
762,2016-06-20
1070,2016-06-19
3612,2016-06-18
4470,2016-06-17
6659,2016-06-16
3579,2016-06-15
3870,2016-06-14
5287,2016-06-13
6563,2016-06-12
8830,2016-06-11
3874,2016-06-10
6795,2016-06-09
3712,2016-06-08
